year,channel_name,Commitments,Disbursements
2011,African Development Bank,979.5388990000001,903.664249
2011,Asian Development Bank,996.280259,822.7405749999999
2011,Caribbean Development Bank,117.22377,90.170275
2011,Central American Bank for Economic Integration,0.0,0.0
2011,Development Bank of Latin America,10.397863000000001,138.80131
2011,European Bank for Reconstruction and Development,111.086572,142.233635
2011,European Investment Bank,13.307824,13.307823999999998
2011,Inter-American Development Bank,353.774746,309.773354
2011,International Bank for Reconstruction and Development,1857.412567,1969.706316
2012,African Development Bank,578.404864,625.522957
2012,Asian Development Bank,465.77267700000004,582.630511
2012,Black Sea Trade and Development Bank,1.2968779999999998,1.2968779999999998
2012,Caribbean Development Bank,78.342522,90.756507
2012,Central American Bank for Economic Integration,0.0,0.0
2012,Development Bank of Latin America,140.89256199999997,9.974123
2012,European Bank for Reconstruction and Development,142.91190699999999,156.249334
2012,European Investment Bank,20.827396,18.214653
2012,Inter-American Development Bank,514.0674329999999,529.416462
2012,International Bank for Reconstruction and Development,1574.42307,1466.779602
2013,African Development Bank,296.23199,668.3850130000001
2013,Asian Development Bank,906.016269,945.996621
2013,Caribbean Development Bank,139.604211,118.791818
2013,Central American Bank for Economic Integration,0.0,0.0
2013,Development Bank of Latin America,130.592206,266.634227
2013,European Bank for Reconstruction and Development,100.059949,78.06249600000001
2013,European Investment Bank,41.106687,76.263237
2013,Inter-American Development Bank,429.013442,465.748424
2013,International Bank for Reconstruction and Development,1272.0934499999998,1477.134757
2014,African Development Bank,773.765198,715.9125710000001
2014,Asian Development Bank,817.466938,885.690139
2014,Black Sea Trade and Development Bank,0.0,2.706155
2014,Caribbean Development Bank,67.76069799999999,80.01784
2014,Central American Bank for Economic Integration,0.0,0.0
2014,Council of Europe Development Bank,0.10044399999999999,0.10044399999999999
2014,Development Bank of Latin America,124.646954,124.646954
2014,European Bank for Reconstruction and Development,45.220808,84.266322
2014,European Investment Bank,23.410781,28.693607
2014,Inter-American Development Bank,401.69305499999996,424.20047
2014,International Bank for Reconstruction and Development,1370.838057,1556.498203
2014,Islamic Development Bank,0.0,65.022483
2015,African Development Bank,309.62141099999997,619.8322390000001
2015,Asian Development Bank,399.100242,450.95001
2015,Black Sea Trade and Development Bank,6.000716,26.175373999999998
2015,Caribbean Development Bank,81.255345,83.760647
2015,Central American Bank for Economic Integration,0.0,0.0
2015,Council of Europe Development Bank,0.09038299999999999,0.09038299999999999
2015,Development Bank of Latin America,0.0,0.0
2015,European Bank for Reconstruction and Development,38.852235,41.593463
2015,European Investment Bank,35.607078,43.662524000000005
2015,Inter-American Development Bank,371.064381,396.505059
2015,International Bank for Reconstruction and Development,950.194817,1186.724554
2015,Islamic Development Bank,8.534656,15.850221999999999
2016,African Development Bank,258.645597,564.515011
2016,Asian Development Bank,171.780084,117.117624
2016,Asian Infrastructure Investment Bank,3564.149561,4397.956848
2016,Black Sea Trade and Development Bank,9.87426,13.059687
2016,Caribbean Development Bank,65.714777,77.13405800000001
2016,Central American Bank for Economic Integration,0.0,0.0
2016,Council of Europe Development Bank,0.33594500000000005,0.357254
2016,Development Bank of Latin America,0.0,0.0
2016,European Bank for Reconstruction and Development,36.910307,35.013335000000005
2016,European Investment Bank,25.487707999999998,25.567449
2016,Inter-American Development Bank,383.034437,438.778253
2016,International Bank for Reconstruction and Development,992.926962,913.7512959999999
2016,Islamic Development Bank,0.0,205.299977
2017,African Development Bank,712.093397,522.00742
2017,Asian Development Bank,324.559409,174.717851
2017,Asian Infrastructure Investment Bank,1968.501807,3031.1019969999998
2017,Black Sea Trade and Development Bank,12.098111,25.540195
2017,Caribbean Development Bank,152.336391,64.444932
2017,Central American Bank for Economic Integration,0.0,0.0
2017,Council of Europe Development Bank,0.7684629999999998,0.7684629999999998
2017,Development Bank of Latin America,105.665444,114.71395199999999
2017,European Bank for Reconstruction and Development,57.937386,57.214293
2017,European Investment Bank,27.704613,35.543485
2017,Inter-American Development Bank,467.68827100000004,356.651765
2017,International Bank for Reconstruction and Development,136.399454,219.60685
2017,Islamic Development Bank,0.602345,340.46972400000004
2018,African Development Bank,182.436536,496.998179
2018,Asian Development Bank,88.285476,185.380504
2018,Asian Infrastructure Investment Bank,1486.713607,3161.833158
2018,Black Sea Trade and Development Bank,21.844565,33.384186
2018,Caribbean Development Bank,7.525563,49.315796
2018,Central American Bank for Economic Integration,0.0,0.0
2018,Council of Europe Development Bank,0.451561,0.452048
2018,Development Bank of Latin America,79.491725,74.921021
2018,European Bank for Reconstruction and Development,47.402805,41.792396
2018,European Investment Bank,37.411955,48.830069
2018,Inter-American Development Bank,90.53694300000001,171.901603
2018,International Bank for Reconstruction and Development,162.066525,247.950336
2018,Islamic Development Bank,37.659347,84.021292
2019,African Development Bank,133.09975500000002,366.45449699999995
2019,Asian Development Bank,90.538425,155.421489
2019,Asian Infrastructure Investment Bank,1692.445505,2850.180739
2019,Caribbean Development Bank,1.2797939999999999,49.387461
2019,Council of Europe Development Bank,0.43220300000000006,0.43220300000000006
2019,Development Bank of Latin America,66.66189800000001,71.11923700000001
2019,European Bank for Reconstruction and Development,33.568425,68.538982
2019,European Investment Bank,33.825428,49.58199
2019,Inter-American Development Bank,337.93782,450.022804
2019,International Bank for Reconstruction and Development,2419.4918159999997,2286.821609
2019,International Investment Bank,9.362422,9.362422
2019,Islamic Development Bank,49.144712999999996,49.144712999999996
2020,African Development Bank,1344.457785,719.409589
2020,Asian Development Bank,327.876026,143.81864000000002
2020,Asian Infrastructure Investment Bank,192.186385,310.828648
2020,Caribbean Development Bank,0.0,47.508151999999995
2020,Central American Bank for Economic Integration,40.063665,375.923469
2020,Council of Europe Development Bank,0.198135,0.198135
2020,Development Bank of Latin America,54.801896,54.801896
2020,European Bank for Reconstruction and Development,87.70258199999999,48.060598
2020,European Investment Bank,58.183378,59.454961
2020,Inter-American Development Bank,85.11366100000001,152.619569
2020,International Bank for Reconstruction and Development,1469.434051,1446.478897
2020,International Investment Bank,8.057318,15.975985
2020,Islamic Development Bank,159.32815,159.32815
2021,African Development Bank,580.8846940000001,1067.950608
2021,Asian Development Bank,106.77775,123.786366
2021,Asian Infrastructure Investment Bank,118.44246600000001,119.015106
2021,Caribbean Development Bank,151.231326,61.142974
2021,Central American Bank for Economic Integration,28.812118,152.562118
2021,Council of Europe Development Bank,0.205082,0.205082
2021,Development Bank of Latin America,52.496172,52.496172
2021,European Bank for Reconstruction and Development,19.217532,31.726081999999998
2021,European Investment Bank,78.95575,74.68342
2021,Inter-American Development Bank,49.009342000000004,79.11942
2021,International Bank for Reconstruction and Development,1455.40955,1764.6107
2021,International Investment Bank,5.54662,8.58723
2021,Islamic Development Bank,0.0,666.1983700000001
2022,African Development Bank,479.234966,784.608359
2022,Asian Development Bank,45.504215,98.73641599999999
2022,Asian Infrastructure Investment Bank,32.761765,33.456036999999995
2022,Caribbean Development Bank,6.728586,50.721411
2022,Central American Bank for Economic Integration,37.246931000000004,37.246931000000004
2022,Council of Europe Development Bank,0.192135,0.192135
2022,European Bank for Reconstruction and Development,985.3047069999999,991.3183859999999
2022,European Investment Bank,84.165078,84.02672799999999
2022,Inter-American Development Bank,39.320331,47.675439
2022,International Bank for Reconstruction and Development,2341.656995,2319.46932
2022,Islamic Development Bank,1.573292,111.639747
2011,Total,979.5388990000001,903.664249
2011,Total,996.280259,822.7405749999999
2011,Total,117.22377,90.170275
2011,Total,0.0,0.0
2011,Total,10.397863000000001,138.80131
2011,Total,111.086572,142.233635
2011,Total,13.307824,13.307823999999998
2011,Total,353.774746,309.773354
2011,Total,1857.412567,1969.706316
2012,Total,578.404864,625.522957
2012,Total,465.77267700000004,582.630511
2012,Total,1.2968779999999998,1.2968779999999998
2012,Total,78.342522,90.756507
2012,Total,0.0,0.0
2012,Total,140.89256199999997,9.974123
2012,Total,142.91190699999999,156.249334
2012,Total,20.827396,18.214653
2012,Total,514.0674329999999,529.416462
2012,Total,1574.42307,1466.779602
2013,Total,296.23199,668.3850130000001
2013,Total,906.016269,945.996621
2013,Total,139.604211,118.791818
2013,Total,0.0,0.0
2013,Total,130.592206,266.634227
2013,Total,100.059949,78.06249600000001
2013,Total,41.106687,76.263237
2013,Total,429.013442,465.748424
2013,Total,1272.0934499999998,1477.134757
2014,Total,773.765198,715.9125710000001
2014,Total,817.466938,885.690139
2014,Total,0.0,2.706155
2014,Total,67.76069799999999,80.01784
2014,Total,0.0,0.0
2014,Total,0.10044399999999999,0.10044399999999999
2014,Total,124.646954,124.646954
2014,Total,45.220808,84.266322
2014,Total,23.410781,28.693607
2014,Total,401.69305499999996,424.20047
2014,Total,1370.838057,1556.498203
2014,Total,0.0,65.022483
2015,Total,309.62141099999997,619.8322390000001
2015,Total,399.100242,450.95001
2015,Total,6.000716,26.175373999999998
2015,Total,81.255345,83.760647
2015,Total,0.0,0.0
2015,Total,0.09038299999999999,0.09038299999999999
2015,Total,0.0,0.0
2015,Total,38.852235,41.593463
2015,Total,35.607078,43.662524000000005
2015,Total,371.064381,396.505059
2015,Total,950.194817,1186.724554
2015,Total,8.534656,15.850221999999999
2016,Total,258.645597,564.515011
2016,Total,171.780084,117.117624
2016,Total,3564.149561,4397.956848
2016,Total,9.87426,13.059687
2016,Total,65.714777,77.13405800000001
2016,Total,0.0,0.0
2016,Total,0.33594500000000005,0.357254
2016,Total,0.0,0.0
2016,Total,36.910307,35.013335000000005
2016,Total,25.487707999999998,25.567449
2016,Total,383.034437,438.778253
2016,Total,992.926962,913.7512959999999
2016,Total,0.0,205.299977
2017,Total,712.093397,522.00742
2017,Total,324.559409,174.717851
2017,Total,1968.501807,3031.1019969999998
2017,Total,12.098111,25.540195
2017,Total,152.336391,64.444932
2017,Total,0.0,0.0
2017,Total,0.7684629999999998,0.7684629999999998
2017,Total,105.665444,114.71395199999999
2017,Total,57.937386,57.214293
2017,Total,27.704613,35.543485
2017,Total,467.68827100000004,356.651765
2017,Total,136.399454,219.60685
2017,Total,0.602345,340.46972400000004
2018,Total,182.436536,496.998179
2018,Total,88.285476,185.380504
2018,Total,1486.713607,3161.833158
2018,Total,21.844565,33.384186
2018,Total,7.525563,49.315796
2018,Total,0.0,0.0
2018,Total,0.451561,0.452048
2018,Total,79.491725,74.921021
2018,Total,47.402805,41.792396
2018,Total,37.411955,48.830069
2018,Total,90.53694300000001,171.901603
2018,Total,162.066525,247.950336
2018,Total,37.659347,84.021292
2019,Total,133.09975500000002,366.45449699999995
2019,Total,90.538425,155.421489
2019,Total,1692.445505,2850.180739
2019,Total,1.2797939999999999,49.387461
2019,Total,0.43220300000000006,0.43220300000000006
2019,Total,66.66189800000001,71.11923700000001
2019,Total,33.568425,68.538982
2019,Total,33.825428,49.58199
2019,Total,337.93782,450.022804
2019,Total,2419.4918159999997,2286.821609
2019,Total,9.362422,9.362422
2019,Total,49.144712999999996,49.144712999999996
2020,Total,1344.457785,719.409589
2020,Total,327.876026,143.81864000000002
2020,Total,192.186385,310.828648
2020,Total,0.0,47.508151999999995
2020,Total,40.063665,375.923469
2020,Total,0.198135,0.198135
2020,Total,54.801896,54.801896
2020,Total,87.70258199999999,48.060598
2020,Total,58.183378,59.454961
2020,Total,85.11366100000001,152.619569
2020,Total,1469.434051,1446.478897
2020,Total,8.057318,15.975985
2020,Total,159.32815,159.32815
2021,Total,580.8846940000001,1067.950608
2021,Total,106.77775,123.786366
2021,Total,118.44246600000001,119.015106
2021,Total,151.231326,61.142974
2021,Total,28.812118,152.562118
2021,Total,0.205082,0.205082
2021,Total,52.496172,52.496172
2021,Total,19.217532,31.726081999999998
2021,Total,78.95575,74.68342
2021,Total,49.009342000000004,79.11942
2021,Total,1455.40955,1764.6107
2021,Total,5.54662,8.58723
2021,Total,0.0,666.1983700000001
2022,Total,479.234966,784.608359
2022,Total,45.504215,98.73641599999999
2022,Total,32.761765,33.456036999999995
2022,Total,6.728586,50.721411
2022,Total,37.246931000000004,37.246931000000004
2022,Total,0.192135,0.192135
2022,Total,985.3047069999999,991.3183859999999
2022,Total,84.165078,84.02672799999999
2022,Total,39.320331,47.675439
2022,Total,2341.656995,2319.46932
2022,Total,1.573292,111.639747
